ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.IND2-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND2-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.IND3-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND3-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.IND4-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND4-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.IND5-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND5-Time,0,1 EA,day,20.0,45.0,180.0,360.0,360.0
STR.IND6-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND6-Time,0,1 EA,day,5.0,20.0,80.0,160.0,160.0
STR.AGR1-Cost,0,1 EA,loss_ratio,0.8,4.6,23.1,46.2,46.2
STR.AGR1-Time,0,1 EA,day,2.0,10.0,30.0,60.0,60.0
STR.REL1-Cost,0,1 EA,loss_ratio,0.3,2.0,9.9,19.8,19.8
STR.REL1-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.GOV1-Cost,0,1 EA,loss_ratio,0.3,1.8,9.0,17.9,17.9
STR.GOV1-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.GOV2-Cost,0,1 EA,loss_ratio,0.3,1.5,7.7,15.3,15.3
STR.GOV2-Time,0,1 EA,day,5.0,20.0,90.0,180.0,180.0
STR.EDU1-Cost,0,1 EA,loss_ratio,0.4,1.9,9.5,18.9,18.9
STR.EDU1-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
STR.EDU2-Cost,0,1 EA,loss_ratio,0.2,1.1,5.5,11.0,11.0
STR.EDU2-Time,0,1 EA,day,10.0,45.0,180.0,360.0,360.0
NSD.RES1-Cost,0,1 EA,loss_ratio,1.0,5.0,25.0,50.0,
NSD.RES2-Cost,0,1 EA,loss_ratio,0.8,3.8,18.9,37.8,
NSD.RES3-Cost,0,1 EA,loss_ratio,0.9,4.3,21.3,42.5,
NSD.RES4-Cost,0,1 EA,loss_ratio,0.9,4.3,21.6,43.2,
NSD.RES5-Cost,0,1 EA,loss_ratio,0.8,4.0,20.0,40.0,
NSD.RES6-Cost,0,1 EA,loss_ratio,0.8,4.1,20.4,40.8,
NSD.COM1-Cost,0,1 EA,loss_ratio,0.6,2.7,13.8,27.5,
NSD.COM2-Cost,0,1 EA,loss_ratio,0.6,2.6,13.2,26.5,
NSD.COM3-Cost,0,1 EA,loss_ratio,0.7,3.4,16.9,33.8,
NSD.COM4-Cost,0,1 EA,loss_ratio,0.7,3.3,16.4,32.9,
NSD.COM5-Cost,0,1 EA,loss_ratio,0.7,3.4,17.2,34.5,
NSD.COM6-Cost,0,1 EA,loss_ratio,0.8,3.5,17.4,34.7,
NSD.COM7-Cost,0,1 EA,loss_ratio,0.7,3.4,17.2,34.4,
NSD.COM8-Cost,0,1 EA,loss_ratio,0.7,3.6,17.8,35.6,
NSD.COM9-Cost,0,1 EA,loss_ratio,0.7,3.5,17.6,35.1,
NSD.COM10-Cost,0,1 EA,loss_ratio,0.4,1.7,8.7,17.4,
NSD.IND1-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.IND2-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.IND3-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.IND4-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.IND5-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.IND6-Cost,0,1 EA,loss_ratio,0.2,1.2,5.9,11.8,
NSD.AGR1-Cost,0,1 EA,loss_ratio,0.0,0.8,3.8,7.7,
NSD.REL1-Cost,0,1 EA,loss_ratio,0.8,3.3,16.3,32.6,
NSD.GOV1-Cost,0,1 EA,loss_ratio,0.7,3.3,16.4,32.8,
NSD.GOV2-Cost,0,1 EA,loss_ratio,0.7,3.4,17.1,34.2,
NSD.EDU1-Cost,0,1 EA,loss_ratio,0.9,4.9,24.3,48.7,
NSD.EDU2-Cost,0,1 EA,loss_ratio,1.2,6.0,30.0,60.0,
NSA.RES1-Cost,0,1 EA,loss_ratio,0.5,2.7,8.0,26.6,
NSA.RES2-Cost,0,1 EA,loss_ratio,0.8,3.8,11.3,37.8,
NSA.RES3-Cost,0,1 EA,loss_ratio,0.8,4.3,13.1,43.7,
NSA.RES4-Cost,0,1 EA,loss_ratio,0.9,4.3,13.0,43.2,
NSA.RES5-Cost,0,1 EA,loss_ratio,0.8,4.1,12.4,41.2,
NSA.RES6-Cost,0,1 EA,loss_ratio,0.8,4.1,12.2,40.8,
NSA.COM1-Cost,0,1 EA,loss_ratio,0.8,4.4,12.9,43.1,
NSA.COM2-Cost,0,1 EA,loss_ratio,0.8,4.2,12.4,41.1,
NSA.COM3-Cost,0,1 EA,loss_ratio,1.0,5.0,15.0,50.0,
NSA.COM4-Cost,0,1 EA,loss_ratio,0.9,4.8,14.4,47.9,
NSA.COM5-Cost,0,1 EA,loss_ratio,1.0,5.2,15.5,51.7,
NSA.COM6-Cost,0,1 EA,loss_ratio,1.0,5.1,15.4,51.3,
NSA.COM7-Cost,0,1 EA,loss_ratio,1.0,5.2,15.3,51.2,
NSA.COM8-Cost,0,1 EA,loss_ratio,1.1,5.4,16.3,54.4,
NSA.COM9-Cost,0,1 EA,loss_ratio,1.0,5.3,15.8,52.7,
NSA.COM10-Cost,0,1 EA,loss_ratio,0.3,2.2,6.5,21.7,
NSA.IND1-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.IND2-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.IND3-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.IND4-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.IND5-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.IND6-Cost,0,1 EA,loss_ratio,1.4,7.2,21.8,72.5,
NSA.AGR1-Cost,0,1 EA,loss_ratio,0.8,4.6,13.8,46.1,
NSA.REL1-Cost,0,1 EA,loss_ratio,0.9,4.7,14.3,47.6,
NSA.GOV1-Cost,0,1 EA,loss_ratio,1.0,4.9,14.8,49.3,
NSA.GOV2-Cost,0,1 EA,loss_ratio,1.0,5.1,15.1,50.5,
NSA.EDU1-Cost,0,1 EA,loss_ratio,0.7,3.2,9.7,32.4,
NSA.EDU2-Cost,0,1 EA,loss_ratio,0.6,2.9,8.7,29.0,
