index,ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,DV-Unit,LossFunction-Theta_0
15,RES1.FIA-Modified.contents.split_level.with_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 15.0, 17.0, 23.0, 28.0, 33.0, 37.0, 42.0, 46.0, 52.0, 55.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
16,RES1.USACE_IWR.contents.one_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 4.0, 16.0, 26.0, 36.0, 44.0, 52.0, 58.0, 64.0, 68.0, 72.0, 74.0, 76.0, 78.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
17,RES1.USACE_IWR.contents.two_or_more_stories.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 2.0, 10.0, 18.0, 24.0, 32.0, 38.0, 42.0, 48.0, 52.0, 56.0, 60.0, 64.0, 66.0, 70.0, 72.0, 72.0, 74.0, 74.0, 76.0, 76.0, 78.0, 78.0, 80.0, 80.0, 82.0, 82.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
18,RES1.USACE_IWR.contents.split_level.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 4.0, 6.0, 10.0, 16.0, 22.0, 30.0, 40.0, 50.0, 62.0, 72.0, 82.0, 92.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
19,RES1.USACE_Chicago.contents.one_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 12.0, 24.0, 33.0, 35.0, 37.0, 41.0, 45.0, 50.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
20,RES1.USACE_Chicago.contents.one_story.with_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 6.0, 7.0, 8.0, 15.0, 19.0, 22.0, 28.0, 33.0, 39.0, 43.0, 49.0, 54.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
21,RES1.USACE_Chicago.contents.split_level.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 2.0, 19.0, 32.0, 41.0, 47.0, 51.0, 53.0, 55.0, 56.0, 62.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
22,RES1.USACE_Chicago.contents.split_level.with_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 10.0, 15.0, 18.0, 31.0, 44.0, 52.0, 58.0, 61.0, 63.0, 64.0, 66.0, 69.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
23,RES1.USACE_Chicago.contents.two_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 8.0, 11.0, 18.0, 23.0, 28.0, 33.0, 39.0, 44.0, 50.0, 54.0, 58.0, 62.0, 66.0, 70.0, 74.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
24,RES1.USACE_Chicago.contents.two_story.with_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 6.0, 9.0, 11.0, 17.0, 22.0, 28.0, 33.0, 39.0, 44.0, 49.0, 55.0, 61.0, 64.0, 71.0, 76.0, 78.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
25,RES1.USACE_Galveston.contents.one_&_1/2_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 2.0, 22.0, 36.0, 45.0, 57.0, 66.0, 71.0, 77.0, 79.0, 82.0, 84.0, 86.0, 87.0, 89.0, 90.0, 91.0, 92.0, 92.0, 92.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
26,RES1.USACE_Galveston.contents.one_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 8.0, 42.0, 60.0, 71.0, 77.0, 82.0, 85.0, 86.0, 87.0, 88.0, 88.0, 88.0, 89.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
27,RES1.USACE_Galveston.contents.two_story.no_basement-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 4.0, 24.0, 34.0, 40.0, 47.0, 53.0, 56.0, 58.0, 58.0, 58.0, 61.0, 66.0, 68.0, 76.0, 81.0, 86.0, 90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
28,RES1.USACE_New-Orleans.contents.one_story.fresh_water.short_duration-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 63.0, 82.0, 85.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0, 91.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
29,RES1.USACE_New-Orleans.contents.one_story.salt_water.long_duration-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
30,RES1.USACE_New-Orleans.contents.two_story.fresh_water.short_duration-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 37.0, 51.0, 51.0, 55.0, 55.0, 55.0, 55.0, 55.0, 73.0, 81.0, 87.0, 90.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
31,RES1.USACE_New-Orleans.contents.two_story.salt_water.long_duration-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
32,RES1.USACE_St-Paul.contents.one_story-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 27.0, 44.0, 54.0, 63.0, 68.0, 73.0, 75.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
33,RES1.USACE_St-Paul.contents.two_story-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 0.0, 27.0, 44.0, 54.0, 63.0, 68.0, 73.0, 75.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0, 78.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
34,RES1.USACE_Wilmington.contents.one_&_1/2_story.pile_foundation-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"6.0, 7.0, 8.0, 9.0, 9.0, 21.0, 31.0, 43.0, 54.0, 67.0, 70.0, 73.0, 76.0, 78.0, 81.0, 82.0, 84.0, 85.0, 86.0, 87.0, 88.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
35,RES1.USACE_Wilmington.contents.one_&_1/2_story-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 9.0, 21.0, 31.0, 37.0, 43.0, 51.0, 57.0, 63.0, 68.0, 74.0, 80.0, 81.0, 83.0, 84.0, 86.0, 87.0, 88.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
36,RES1.USACE_Wilmington.contents.one_&_1/2_story_with_1/2_living_area_below-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 2.0, 6.0, 10.0, 15.0, 18.0, 21.0, 23.0, 24.0, 28.0, 34.0, 44.0, 54.0, 63.0, 73.0, 76.0, 79.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
37,RES1.USACE_Wilmington.contents.one_story.pile_foundation-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"9.0, 10.0, 13.0, 13.0, 14.0, 26.0, 38.0, 52.0, 64.0, 78.0, 81.0, 85.0, 88.0, 91.0, 95.0, 96.0, 97.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
38,RES1.USACE_Wilmington.contents.one_story-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 11.0, 24.0, 36.0, 43.0, 46.0, 52.0, 59.0, 66.0, 73.0, 80.0, 87.0, 88.0, 90.0, 92.0, 94.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
