ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.S4M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S4M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S4H-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.S4H-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.S4H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S4H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S5L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S5L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S5L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S5L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S5M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S5M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S5M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S5M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S5H-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S5H-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S5H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S5H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C1L-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C1L-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C1L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C1L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C1M-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C1M-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C1M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C1M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C1H-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C1H-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C1H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C1H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C2L-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C2L-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C2L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C2L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C2M-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C2M-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C2M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C2M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C2H-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.C2H-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.C2H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C2H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C3L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.C3L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.C3L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C3L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C3M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.C3M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.C3M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C3M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.C3H-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.C3H-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.C3H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.C3H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.PC1-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.PC1-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.PC1-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.PC1-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.PC2L-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.PC2L-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.PC2L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.PC2L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.PC2M-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.PC2M-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.PC2M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.PC2M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.PC2H-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.PC2H-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.PC2H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.PC2H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.RM1L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.RM1L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.RM1L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.RM1L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.RM1M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.RM1M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.RM1M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.RM1M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.RM2L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.RM2L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.RM2L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.RM2L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.RM2M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.RM2M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.RM2M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.RM2M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.RM2H-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.RM2H-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.RM2H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.RM2H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.URML-S1,0,1 EA,injury_rate,0.05,0.35,2.0,10.0,40
STR.URML-S2,0,1 EA,injury_rate,0.0,0.4,0.2,2.0,20
STR.URML-S3,0,1 EA,injury_rate,0.0,0.001,0.002,0.02,5
STR.URML-S4,0,1 EA,injury_rate,0.0,0.001,0.002,0.02,10
STR.URMM-S1,0,1 EA,injury_rate,0.05,0.35,2.0,10.0,40
STR.URMM-S2,0,1 EA,injury_rate,0.0,0.4,0.2,2.0,20
STR.URMM-S3,0,1 EA,injury_rate,0.0,0.001,0.002,0.02,5
STR.URMM-S4,0,1 EA,injury_rate,0.0,0.001,0.002,0.02,10
STR.MH-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.MH-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.MH-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,3
STR.MH-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
